Species,Temperature,Rmax,K,Group
Pseudomonas spp,2,0.09,5.75,3
Pseudomonas spp,4,0.1,6.28,3
Pseudomonas spp,7,0.1,5.61,3
Pseudomonas spp,10,0.2,6.14,3
Pseudomonas spp,15,0.2,7.74,3
Pseudomonas spp,2,0.06,8.05,3
Pseudomonas spp,4,0.01,1266.95,3
Pseudomonas spp,7,0.14,6.76,3
Pseudomonas spp,10,0.26,8.44,3
Pseudomonas spp,15,0.34,15.08,3
Pseudomonas spp,20,0.65,8.34,3
Aerobic Psychotropic,2,0.06,6.69,3
Aerobic Psychotropic,4,0.02,1294.25,3
Aerobic Psychotropic,10,0.22,5.9,3
Aerobic Psychotropic,15,0.32,7.97,3
Aerobic Psychotropic,2,0.06,5.95,3
Aerobic Psychotropic,4,0.04,325.83,3
Aerobic Psychotropic,7,0.09,201.35,3
Aerobic Psychotropic,10,0.15,6.52,3
Aerobic Psychotropic,15,0.24,6.01,3
Aerobic Psychotropic,20,0.13,258.08,3
Aerobic Psychotropic,2,0.08,7.73,3
Aerobic Psychotropic,4,0.08,8.44,3
Aerobic Psychotropic,7,0.13,7.49,3
Aerobic Psychotropic,10,0.19,6.99,3
Aerobic Psychotropic,15,0.26,8.03,3
Aerobic Psychotropic,20,0.42,7.16,3
Aerobic Mesophilic,2,0.06,6.23,3
Aerobic Mesophilic,7,0.14,7.56,3
Aerobic Mesophilic,4,0.08,6.32,3
Aerobic Mesophilic,10,0.26,6.72,3
Aerobic Mesophilic,15,0.38,7.43,3
Aerobic Mesophilic,20,0.52,7.21,3
Aerobic Mesophilic,2,0.05,6.57,3
Aerobic Mesophilic,4,0.08,7.53,3
Aerobic Mesophilic,10,0.23,5.95,3
Aerobic Mesophilic,15,0.3,6.4,3
Aerobic Mesophilic,2,0.06,6.81,3
Aerobic Mesophilic,4,0.01,11669.6,3
Aerobic Mesophilic,7,0.17,9.08,3
