Species,Temperature,Rmax,K,Group
Chryseobacterium,5,0.04,-5.26,1
Enterobacter,5,0.1,-0.57,1
Pantoea,5,0.15,-0.74,1
Pantoea,5,0.1,-0.72,1
Clavibacter,5,0.03,-0.99,1
Pseudomonas,5,0.03,0.2,1
Pseudomonas,5,0.04,-1.24,1
Acinetobacter,5,0.01,0.12,1
Acinetobacter,5,0.03,-2.25,1
Stenotrophomonas,5,0.03,0.21,1
Stenotrophomonas,5,0.04,-1.25,1
Klebsiella,5,0.04,-0.96,1
Pantoea,5,0.09,-0.88,1
Acinetobacter,5,0.01,0.05,1
Stenotrophomonas,5,0.03,-1.66,1
Clavibacter,5,0.01,0.22,1
Chryseobacterium,15,0.04,0.31,1
Enterobacter,15,0.37,0.83,1
Bacillus,15,0.05,0.13,1
Clavibacter,15,0.06,0.49,1
Pseudomonas,15,0.1,0.11,1
Pseudomonas,15,0.07,0.26,1
Acinetobacter,15,0.11,-0.39,1
Acinetobacter,15,0.15,-0.21,1
Stenotrophomonas,15,0.08,0.18,1
Klebsiella,15,0.3,0.8,1
Pectobacterium,15,0.8,-0.68,1
Dickeya,15,0.17,0.32,1
Acinetobacter,15,0.08,0.11,1
Stenotrophomonas,15,0.14,-1.2,1
Klebsiella,15,0.27,0.61,1
Bacillus,15,0.11,-1.64,1
Chryseobacterium,25,0.15,-1.02,1
Pantoea,25,0.06,0.56,1
Pantoea,25,0.07,0.49,1
Bacillus,25,0.31,-1.43,1
Pseudomonas,25,0.17,0.18,1
Pseudomonas,25,0.17,0.29,1
Stenotrophomonas,25,0.24,0.2,1
Stenotrophomonas,25,0.13,0.51,1
Klebsiella,25,0.63,0.95,1
